Province,District
Koshi Province,Bhojpur
Koshi Province,Dhankuta
Koshi Province,Ilam
Koshi Province,Jhapa
Koshi Province,Khotang
Koshi Province,Morang
Koshi Province,Okhaldhunga
Koshi Province,Panchthar
Koshi Province,Sankhuwasabha
Koshi Province,Solukhumbu
Koshi Province,Sunsari
Koshi Province,Taplejung
Koshi Province,Terhathum
Koshi Province,Udayapur
Madhesh Province,Bara
Madhesh Province,Dhanusha
Madhesh Province,Mahottari
Madhesh Province,Parsa
Madhesh Province,Rautahat
Madhesh Province,Saptari
Madhesh Province,Sarlahi
Madhesh Province,Siraha
Bagmati Province,Bhaktapur
Bagmati Province,Chitwan
Bagmati Province,Dhading
Bagmati Province,Dolakha
Bagmati Province,Kathmandu
Bagmati Province,Kavrepalanchok
Bagmati Province,Lalitpur
Bagmati Province,Makwanpur
Bagmati Province,Nuwakot
Bagmati Province,Ramechhap
Bagmati Province,Rasuwa
Bagmati Province,Sindhuli
Bagmati Province,Sindhupalchok
Gandaki Province,Baglung
Gandaki Province,Gorkha
Gandaki Province,Kaski
Gandaki Province,Lamjung
Gandaki Province,Manang
Gandaki Province,Mustang
Gandaki Province,Myagdi
Gandaki Province,Nawalpur
Gandaki Province,Parbat
Gandaki Province,Syangja
Gandaki Province,Tanahun
Lumbini Province,Arghakhanchi
Lumbini Province,Banke
Lumbini Province,Bardiya
Lumbini Province,Dang
Lumbini Province,Gulmi
Lumbini Province,Kapilvastu
Lumbini Province,Palpa
Lumbini Province,Parasi
Lumbini Province,Pyuthan
Lumbini Province,Rolpa
Lumbini Province,Rukum (East)
Lumbini Province,Rupandehi
Karnali Province,Dailekh
Karnali Province,Dolpa
Karnali Province,Humla
Karnali Province,Jajarkot
Karnali Province,Jumla
Karnali Province,Kalikot
Karnali Province,Mugu
Karnali Province,Rukum (West)
Karnali Province,Salyan
Karnali Province,Surkhet
Sudurpashchim Province,Achham
Sudurpashchim Province,Baitadi
Sudurpashchim Province,Bajhang
Sudurpashchim Province,Bajura
Sudurpashchim Province,Dadeldhura
Sudurpashchim Province,Darchula
Sudurpashchim Province,Doti
Sudurpashchim Province,Kailali
Sudurpashchim Province,Kanchanpur
